Name,Review,URL,Comment
AILYZE,https://www.surrey.ac.uk/sites/default/files/2024-08/AIlyze%20Review%202024%20Final%20%282%29.pdf ,https://www.ailyze.com/,
ATLAS.ti,https://www.surrey.ac.uk/sites/default/files/2025-08/ATLAS.ti-v25-distinguishing-features.pdf,https://atlasti.com/,
DEDOOSE,https://www.surrey.ac.uk/sites/default/files/2020-08/dedoose-distinguishing-features-and-functions.pdf,https://www.dedoose.com/,
Delve,https://www.surrey.ac.uk/sites/default/files/2020-04/delve-distinguishing-features-march-2020.pdf,https://delvetool.com/,
Digital replay system (DRS),https://www.surrey.ac.uk/sites/default/files/DRS_distinguishingfeatures.pdf,https://web.mac.com/andy.crabtree/NCeSS_Digital_Records_Node/Welcome.html,Website down
DiscoverText,https://www.surrey.ac.uk/sites/default/files/2019-12/discovertext-distinguishing-features.pdf,https://discovertext.com/,
f4Analyse,https://www.surrey.ac.uk/sites/default/files/2024-03/f4analyse-review.pdf,https://www.audiotranskription.de/en/f4analyse/,
HyperRESEARCH,https://www.surrey.ac.uk/sites/default/files/2024-03/hyperresearch-review.pdf,,No link in review
Leximancer,https://www.surrey.ac.uk/sites/default/files/2020-12/cnp-leximancer-5-review.pdf,https://www.leximancer.com/,Redirected from https://info.leximancer.com/
MAXQDA,https://www.surrey.ac.uk/sites/default/files/2024-05/MAXQDA%2024-%20Distinguishing-Features-v2-2024.pdf,https://www.maxqda.com/,
MiMeG,https://www.surrey.ac.uk/sites/default/files/MiMeG_distinguishingfeaturesFINAL.pdf,http://www.ncess.ac.uk/research/video/mimeg/,Website down
NVivo,https://www.surrey.ac.uk/sites/default/files/2023-06/nvivo-14-distinguishing-features.pdf,https://lumivero.com/products/nvivo/,
Reveal,https://www.surrey.ac.uk/sites/default/files/2024-10/Reveal%20review%20Oct%202024%20FINAL.pdf,https://www.doreveal.com/,Website down
Transana,https://www.surrey.ac.uk/sites/default/files/2024-03/transana-review.pdf,https://www.transana.com/,
QDA Miner,https://www.surrey.ac.uk/sites/default/files/2024-05/qda-miner-distinguishing-features_v2024.pdf,https://provalisresearch.com/products/qualitative-data-analysis-software/,
Quirkos,https://www.surrey.ac.uk/sites/default/files/2024-03/Quirkos-v2.5-review.pdf,https://www.quirkos.com/,
webQDA,https://www.surrey.ac.uk/sites/default/files/2018-09/webqda-review-august-2018.pdf,https://www.webqda.net/,
WordSmith Tools,https://www.surrey.ac.uk/sites/default/files/2021-10/lewins-silver-2021-wordsmith-tools-distinguishing-features-caqdas-np.pdf,https://lexically.net/wordsmith/,
