Name,URL,Comments
ATLAS.ti,https://atlasti.com
Dedoose,https://www.dedoose.com
HyperRESEARCH,https://www.researchware.com
MAXQDA,https://www.maxqda.com
NVivo,https://www.nvivo.com
Quirkos,https://www.quirkos.com
f4analyse,https://www.audiotranskription.de
RQDA,https://rqda.r-forge.r-project.org
Coding Analysis Toolkit (CAT),https://cat.texifter.com
Taguette,https://taguette.org
AQUAD,https://www.aquad.de
Kwalitan,https://www.kwalitan.com
Qualitative Data Analyzer (QDA) Miner,https://www.provalisresearch.com
ANTHROPAC,https://www.analytictech.com
Ethnograph,https://www.qualisresearch.com,not reachable
HyperTranscribe,https://www.researchware.com,
Transana,https://www.transana.org
ELAN,https://elan.esotericsoftware.com
CLAN,https://childes.talkbank.org
Praat,https://www.fon.hum.uva.nl/praat,"phonetics software, not related to QDA"
Computer Assisted Qualitative Data Analysis (CAQDAS),https://www.caqdas.net,not reachable
Weft QDA,https://weft.qda.org
Open Coding,https://opencoding.org,website broken
Saturate,https://saturate.app,"domain parking"
FAMOS,https://www.f4analyse.de/famos,"404, part of f4analyse"
FSQCA,https://www.fsqa.org,website broken
CATAAC,https://cataac.uqam.ca,not reachable
Qiqqa,https://www.qiqqa.com,
Mendeley,https://www.mendeley.com,"publication management, not related to QDA"
Zotero,https://www.zotero.org,"publication management, not related to QDA"
EndNote,https://endnote.com,"publication management, not related to QDA"
Citavi,https://www.citavi.com,"publication management, not related to QDA"
Quoll,https://quoll.io,"AI companion for herding cats, not related to QDA"
Otter,https://otter.ai,"AI meeting agent, not related to QDA"
oTranscribe,https://otranscribe.com
Express Scribe,https://www.nch.com.au/scribe
InqScribe,https://www.inqscribe.com
ahermeneutic,https://ahermeneutic.org,not reachable
Cassandre,https://cassandre.academia.edu
webQDA,https://www.webqda.net
Annotations,https://annotations.hypothes.is,not reachable
Hootsuite Insights,https://insights.hootsuite.com,not reachable
DiscoverText,https://www.discovertext.com
Datagraver,https://datagraver.com,blog
Oso,https://oso.ai,domain parking
Dovetail,https://dovetail.app,"website broken"
Refinder,https://refinder.com,domain parking
Quip,https://quip.com,"teams sales software, not related to QDA"
MarginNote,https://www.marginnote.com,"learning software, not related to QDA"
Bear,https://bear.app,"notes taking app, not related to QDA"
Trello,https://trello.com,"task management app, not related to QDA"
Evernote,https://evernote.com,"notes taking app, not related to QDA"
OneNote,https://www.onenote.com,"notes taking app, not related to QDA"
Simplenote,https://simplenote.com,"notes taking app, not related to QDA"
Zkn,https://zkn3.com,not reachable
Logseq,https://logseq.com,"notes taking app, not related to QDA"
Obsidian,https://obsidian.md,"notes taking app, not related to QDA"
Roam Research,https://roamresearch.com,"notes taking app, not related to QDA"
Notion,https://notion.so,"ai teams app, not related to QDA"
Coda,https://coda.io,"teams app, not related to QDA"
Airtable,https://airtable.com,"tabular app, not related to QDA"
Mural,https://mural.co,"visual collab app, not related to QDA"
Google Jamboard,https://jamboard.google.com,"collab app, not related to QDA"
Microsoft Whiteboard,https://www.microsoft.com/en-us/microsoft-365/microsoft-whiteboard,"whiteboard app, not related to QDA"
SmartDraw,https://www.smartdraw.com,"whiteboard app, not related to QDA"
MindMeister,https://www.mindmeister.com,"notes taking app, not related to QDA"
XMind,https://www.xmind.net,"notes taking app, not related to QDA"
FreeMind,https://www.freemind.org,"spritual website, not related to QDA"
TheBrain,https://www.thebrain.com,"notes taking app, not related to QDA"
Scapple,https://www.literatureandlatte.com/scapple,"diagram app, not related to QDA"
yEd,https://www.yworks.com/products/yed,"diagram app, not related to QDA"
Grapholith,https://grapholith.com,not reachable
Plot,https://plot.io,not reachable
yMap,https://www.yworks.com/products/ymap,"diagram app, not related to QDA"
TextQuest,https://www.textquest.de
Visão,https://www.visao.com,not reachable
GATE,https://gate.ac.uk,"nlp toolkit, not directly related to QDA"
OpenNLP,https://opennlp.apache.org,"nlp toolkit, not directly related to QDA"
spaCy,https://spacy.io,"nlp toolkit, not directly related to QDA"
Stanford CoreNLP,https://stanfordnlp.github.io/CoreNLP,"nlp toolkit, not directly related to QDA"
Natural Language Toolkit (NLTK),https://www.nltk.org,"nlp toolkit, not directly related to QDA"
TextBlob,https://textblob.readthedocs.io,"nlp toolkit, not directly related to QDA"
gensim,https://radimrehurek.com/gensim,"nlp toolkit, not directly related to QDA"
scikit-learn,https://scikit-learn.org,"ML tools, not related to qda"
PyTorch-NLP,https://pytorch.org,"ML tool, not related to qda"
Hugging Face Transformers,https://huggingface.co,"AI Plaform, not related to QDA"
AllenNLP,https://allennlp.org,"AI Tools, not related to QDA"
FLAIR,,No URL prvovided
