"Name";"Release";"Year";"License";"Citation Metadata";"Min. costs € 1 user p.a.";"Server on-prem";"Server Location";"Windows";"MacOs";"Linux";"Android";"iOS";"Web";"Docker";"Runnable locally";"Source Code";"Code text";"Code Images";"Code PDF";"code spreadhseet";"Code Audio";"Code Video";Import (Text);"Import (image)";"import (audio)";"import (video)";"import (documents)";"Import (other)";"Export Formats";"REFI Import";"REFI Export";"Plugins";"Scripts";"Collaboration";"OnPrem+Collaboration";"AI";"AI Auto Transcription";"AI Provider";"Audit";"Team";"Contributors";"Security Policy";"URL";"Docs";"Source URL"
"aquad";"8.5";2024;"GPL-3.0";0;0;0;;1;0;0;0;0;0;0;0;0;1;1;0;0;1;1;"txt";"jpg, png";"vlc";"vlc";;;"csv, txt";0;0;0;"R";0;0;0;0;0;0;"researchers (emeriti)";2;0;"http://www.aquad.de/";"http://www.aquad.de/D_Manual8.html";"Not found!"
"ATLAS.ti";"8.3.0";2024;proprietary;0;184;"Off-premise";;1;1;0;0;0;1;0;1;0;1;1;1;0;1;1;"doc/x, rtf, odt, htm, html, txt, ooxml";"bmp, gif, jpeg, jpg, png, tif, tiff";"aac, m4a, mp3, mp4, wav";"3g2, 3gp, 3gp2, 3gpp, asf, avi, m4v, mov, mp4, wmv";"mobi, xls/x, ods, ppt/x, odp, vsd/x, odg";"Social networks, Geo Data";"xls/x, spss, PDF, doc/x";1;1;0;0;"realtime (extra App)";0;1;0;"OpenAI";0;"corporate";;0;"https://atlasti.com/de";"https://atlasti.com/de/handbuecher-und-dokumente";
"DEDOOSE";"9.2.12";2024;"proprietary";0;156;"Off-premise";"U.S.";1;1;1;0;0;1;0;0;0;1;1;0;0;1;1;"doc/x, rtf, txt, pdf";"jpeg, png, pdf";"mp3, m4a, wma";"mp4";"xls, xls/x, csv";;"xls/x, doc/x";1;1;0;0;"parallel";0;0;0;0;0;"corporate";;0;"https://www.dedoose.com/";"https://helpdesk.dedoose.com/hc/en-us";
"Delve";"unknown";2024;"proprietary";0;200;0;;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;"txt, pdf, doc/x";;;;;;"txt";0;0;0;0;"realtime";0;1;0;"unknown";0;"corporate";;"https://delvetool.com/security";"https://delvetool.com/";"https://delvetool.com/learn";
"dicto";"1.0.0-alpha.4";2019;"AGPL-3.0";0;0;1;;0;0;0;0;0;1;0;1;1;0;0;0;0;1;1;;;;;;"youtube, vimeo, facebook, soundcloud, dailymotion, web mp4";"json";0;0;0;0;0;0;0;0;0;0;"single dev";1;0;"https://dictoapp.github.io/dicto/";"https://github.com/dictoapp/dicto";"https://github.com/dictoapp/dicto"
"ELAN";"6.9";2024;"GPL-3.0";0;0;1;;1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;;;"vlc";"vlc";;"csv, eaf, textgrid, txt, sht, tbt";"multiple";0;0;0;"multiple";0;0;0;0;0;0;"funded dev team";"unknown";0;"https://archive.mpi.nl/tla/elan/";"https://archive.mpi.nl/tla/elan/documentation";"https://archive.mpi.nl/tla/elan/download"
"f4analyse";"2024";2024;proprietary;0;111;1;;1;1;1;0;0;0;0;1;0;1;0;0;0;0;0;"doc/x, rtf";;"mp3, undisclosed others";;;;"csv, html, doc/x";1;1;0;0;"manual";0;0;1;0;0;"corporate";;0;"https://www.audiotranskription.de/f4/";"https://www.audiotranskription.de/ressourcen/f4-online-handbuch/";
"gQDA";"0.1.1";2024;not found;0;0;1;;1;1;1;0;0;0;0;1;1;1;0;1;0;0;0;"unknown";;;;;;"unknown";0;0;0;0;0;0;0;0;0;0;"single dev";1;0;"https://github.com/jailop/gQDA/security";"https://github.com/jailop/gQDA/security";"https://github.com/jailop/gQDA/security"
"HyperResearch";"4";2023;proprietary;0;199;1;;1;1;0;0;0;0;0;1;0;1;1;1;0;1;1;"txt";"jpg, gif, png, pict,";"aiff, mp3, wav";"mov, avi, mpg";;;"txt, reports";0;0;0;0;"manual";0;0;0;0;0;"corporate";;0;"http://www.researchware.com/products/hyperresearch.html#Power";"http://www.researchware.com/products/hyperresearch.html#Ease";
"lama";"1.0.0";2023;"MIT";0;0;1;;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;"txt";;;;;"sql";"unknown";0;0;0;0;"realtime";1;0;0;0;0;"multiple devs";13;0;"https://joss.theoj.org/papers/f91f03787429efa115f1e3aa144254bc";"https://github.com/muctadir/lama/";"https://github.com/muctadir/lama/security"
"libreQDA";"1.0.0";2025;"BSD 3-Clause ""New"" or ""Revised"" ";0;0;1;;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;"pdf, doc/x, htm, epub, mobi, odt, rtf";;;;;"sqlite3, csv (codebooks)";"sqlite3, xls/x, csv, htm, pdf";0;0;0;0;"parallel";1;0;0;0;0;"multiple devs";8;0;"https://libreqda.org/";"https://help.libreqda.org/";"https://gitlab.com/bin-cirst/libreqda/libre-qda/"
"llm_qualitative_data_analysis";"0.2.0";2025;"not found";0;0;1;;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;"txt, md";;;;;;"unknown";0;0;0;0;0;0;1;0;"OpenAI";0;"single dev";1;0;"https://github.com/Gamma-Software/llm_qualitative_data_analysis/";"https://github.com/Gamma-Software/llm_qualitative_data_analysis/";"https://github.com/Gamma-Software/llm_qualitative_data_analysis/"
"LLMCode";"dev";2025;"MIT";0;0;1;;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;"csv, xls/x";;;;;;"unknown";0;0;1;0;0;0;1;0;"OpenAI";0;"multiple devs";2;0;"https://github.com/PerttuHamalainen/LLMCode";"https://github.com/PerttuHamalainen/LLMCode";"https://github.com/PerttuHamalainen/LLMCode"
"MAXQDA";"24.4.1";2024;"proprietary";0;95,2;1;;1;1;0;0;0;0;0;1;0;1;1;1;1;1;1;"doc/x, odt, rtf, txt";"png, tif, jpg, gif, svg, bmp";"mp3, wav, undisclosed others";"mp4, avi, mpg, mov, undisclosed others";"xls/x/x, srt, sav, pdf";surveymonkey, youtube, rls, eml, msg;"xls/x, spss, txt, doc, pdf";1;1;0;0;1;"Off-premise";120,00 €;"10€/h";"OpenAI";"partial; import protocol";"corporate";;0;"https://www.maxqda.com";"https://www.maxqda.com/de/hilfe-mx24/willkommen";
"Nvivo";"15";2024;"proprietary";0;430;1;;1;1;0;0;0;0;0;1;0;1;1;1;1;1;1;"doc/x, rtf, txt, pdf";"npm, gif, jpg, jpeg,png, tif, tiff";"mp3, m4a, wma, wav";"avi, wmv, mp4, 3gp, mts, m2ts";"pdf, xls/x, csv, ";msg, ;"xls/x, spss, txt, doc, pdf";1;1;0;0;1;1;1;"22€/h";"unknown";"Audit-trail";"corporate";;0;"https://lumivero.com/products/nvivo/";"https://help-nv.qsrinternational.com/15/win/Content/welcome.htm";
"openqda/openqda";"1.0.1";2025;"AGPL-3.0";1;0;1;;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;"txt, rtf";;"mp3, wav";;;;;"codebooks";"codebooks";"partial";0;"parallel, realtime";1;1;1;"local";"audit log";"multiple devs";4;"https://github.com/openqda/openqda/security/policy";"https://openqda.org/";"https://openqda.github.io/user-docs/,https://openqda.github.io/openqda/";"https://github.com/openqda/openqda"
"qc ";"1.6.0";2024;"AGPL-3.0";0;0;1;;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;"pandoc";;;;pandoc;;;1;1;0;1;"parallel";1;0;0;0;"structlog";"multiple devs";4;0;"https://github.com/cproctor/qualitative-coding/";"https://github.com/cproctor/qualitative-coding/";"https://github.com/cproctor/qualitative-coding/"
QCAmap;1.2.0;2025;"proprietary";0;0;0;;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;"txt, doc/x";"jpg, png, gif";;;;;"xls/x";0;0;0;0;"parallel";0;0;0;0;0;"single dev";;0;"https://www.qcamap.org/ui/de/home";"https://qualitative-content-analysis.org/wp-content/uploads/QCAmapSoftwareHandbook.pdf";
