"Name";"URL";"RSD";"Zenodo";"GitHub";"REFI QDA";"CAQDAS N.P.";"wikipedia";"wikidata";"socsio";"GPT-40";"Llama 3.3";"Claude 3 Haiku";"o3-mini";"Mistral small 3";"Count"
"AILYZE";"https://www.ailyze.com/";;;;;1;;;;;;;;;1
"Annotations";"https://web.hypothes.is/";;;;;;;;1;;1;;;;2
"AnSWR";"http://www.cdc.gov/hiv/library/software/answr/index.html";;;;;;;;1;;;;;;1
"ANTHROPAC";"https://www.analytictech.com/anthropac/anthropac.htm";;;;;;;;;;1;;;;1
"aquad";"https://www.aquad.de/";;;;;;1;1;1;;1;;;;4
"ATLAS.ti";"https://atlasti.com";;;;1;1;1;1;1;1;1;1;1;1;10
"barichello/openQDA";"https://github.com/barichello/openQDA";;;1;;;;;;;;;;;1
"CAQDAS";"https://github.com/Lone-Wolf-84/CAQDAS";;;1;;;;;;;;;;;1
"cassandre";"http://www.cassandre.ulg.ac.be/";;;;;;1;1;1;;1;;;;4
"CAT";"https://sourceforge.net/projects/catoolkit/";;;;;;1;1;1;1;1;;;;5
"catnet";"https://github.com/CamiBetancur/catnet/";;1;;;;;;;;;;;;1
"chawlasahaj/qualitative-topic-modelling";"https://github.com/chawlasahaj/qualitative-topic-modelling";;;1;;;;;;;;;;;1
"CIMS";"https://consline.com/cims/";;;;;;;1;;;;;;;1
"CLAN";"https://dali.talkbank.org/clan/";;;;;;1;;1;;1;;;;3
"Compendium";"https://github.com/compendiumng/compendiumng";;;;;;1;;;;;;;;1
"CSC EZ Text";"http://www.cdc-eztext.com/";;;;;;;;1;;;;;;1
"DEDOOSE";"https://www.dedoose.com/";;;;;1;1;1;1;;1;1;1;1;8
"Delve";"https://delvetool.com/";;;;;1;;;;;;;;;1
"dicto";"https://github.com/dictoapp/dicto";;;1;;;;;;;;;;;1
"DiscoverText";"https://www.discovertext.com";;;;;1;;;;;1;;;;2
"dockerqda";"https://github.com/FrdVnW/dockerqda";;;1;;;;;;;;;;;1
"dohliam/thematic-analysis";"https://github.com/dohliam/thematic-analysis";;;1;;;;;;;;;;;1
"Dovetail";"https://dovetail.com/";;;;;;1;;;;1;;;;2
"DRS";"https://web.mac.com/andy.crabtree/NCeSS_Digital_Records_Node/Welcome.html";;;;;1;;;;;;;;;1
"ELAN";"https://archive.mpi.nl/tla/elan";;;;;;1;;;;1;;;;2
"express scribe ";"https://www.nch.com.au/scribe/";;;;;;;;;;1;;;;1
"f4analyse";"https://www.audiotranskription.de";;;;1;1;;1;1;1;1;;1;1;8
"fastQDA";"https://github.com/gismo141/fastQDA";;;1;;;;;;;;;;;1
